EQIPnumber,location,direct,YMD,hour,laneNumber,                    addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-11-14,00:00:00,1,18.0,18.0,0.0,18.0,0.0,70.0,0.27,250.0
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-11-14,01:00:00,1,13.0,13.0,0.0,13.0,0.0,70.0,0.2,250.0
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-11-14,02:00:00,1,5.0,5.5,1.0,4.0,0.0,70.0,0.08,250.0
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-11-14,03:00:00,1,6.0,6.5,1.0,5.0,0.0,70.0,0.08,250.0
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-11-14,04:00:00,1,1.0,1.0,0.0,1.0,0.0,70.0,0.02,250.0
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-11-14,05:00:00,1,3.0,3.0,0.0,3.0,0.0,70.0,0.05,250.0
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-11-14,06:00:00,1,10.0,11.0,2.0,8.0,0.0,70.0,0.13,249.07
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-11-14,07:00:00,1,44.0,46.5,5.0,39.0,0.0,62.520004,0.52,247.3
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-11-14,08:00:00,1,156.0,156.5,1.0,155.0,0.0,65.59,1.13,206.82
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-11-14,09:00:00,1,91.0,92.0,2.0,89.0,0.0,70.0,0.65,226.9
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-11-14,10:00:00,1,93.0,94.0,2.0,91.0,0.0,70.0,0.73,230.9
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-11-14,11:00:00,1,95.0,101.37931,6.0,89.0,0.0,69.16,0.83,228.93
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-11-14,12:00:00,1,128.0,129.0,2.0,126.0,0.0,68.2,1.03,213.05
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-11-14,13:00:00,1,130.0,130.5,1.0,129.0,0.0,69.81,0.92,208.35
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-11-14,14:00:00,1,162.0,164.5,5.0,157.0,0.0,69.8,1.2,200.6
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-11-14,15:00:00,1,176.0,182.03389,6.0,170.0,0.0,69.69,1.3,196.96
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-11-14,16:00:00,1,204.0,207.5,7.0,197.0,0.0,66.24,1.48,184.07
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-11-14,17:00:00,1,233.0,236.0,6.0,227.0,0.0,69.36,1.72,185.53
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-11-14,18:00:00,1,298.0,301.0,6.0,292.0,0.0,69.4,1.93,148.35
VSDPM60,樂群一路與基湖路口往西約140公尺(堤防里程15K+750),往西,2016-11-14,19:00:00,1,350.0,357.5,15.0,335.0,0.0,69.52,2.4,127.65
